OBJECTID,LEASE_NUMBER,BUS_ASC_NAME,IBLA_APPEAL_FLAG,LEASE_EXPIR_DATE,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPT_EXPIR,LEASE_STATUS_CHANGE_DT,LEASE_SECT_AREA,LEASE_SEGR_FLAG,LSE_STAT_EFF_DT,SERIAL_TYPE_CODE,SEGR_XREF_NUM,RGN_APPEAL_FLAG,PEND_LITIG_FLAG,ROYALTY_RATE,INITIAL_AREA,MINERAL_TYPE_CD,BID_SYSTEM_CODE,BID_AMOUNT,PRIMARY_TERM,SALE_DATE,SALE_NUMBER,CURRENT_AREA,ACRE_HECTARE_CD,MMS_REGION_CODE,PROT_NUMBER,PROT_NAME,BLOCK_NUMBER,AREA_CODE,AC_LAB,DATUM_CODE,TRACT_NUMBER,MMS_PLAN_AREA_CD,LEASE_IS_ACTIVE,NOTES,Shape__Area,Shape__Length
1914,Y00911,PLACID,,1990/10/29 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1990/10/29 00:00:00+00,0,N,1990/10/29 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,1084032,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR07-03,Barter Island                                               ,679,BI,BI679,0,911,BFT,N,,0.00549823619894596,0.341612879926905
1915,Y00863,UNION,,1994/10/31 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,1167000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,667,FI,FI667,0,863,BFT,N,,0.00549852104995807,0.34163302030108
1916,Y00864,EXXON,,1992/09/30 00:00:00+00,RELINQ,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1992/09/30 00:00:00+00,0,N,1992/09/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,912000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,668,FI,FI668,0,864,BFT,N,,0.00549842910004372,0.341637352931854
1917,Y00865,BPXA,,1998/12/30 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,2004/12/11 00:00:00+00,1998/12/30 00:00:00+00,0,N,1998/12/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,5888000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,672,FI,FI672,0,865,BFT,N,,0.00549682974997268,0.341648302717973
1918,Y00866,CONOCO,,1998/12/30 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,2004/12/11 00:00:00+00,1998/12/30 00:00:00+00,0,N,1998/12/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,7136000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,673,FI,FI673,0,866,BFT,N,,0.00549698000122589,0.341669997234377
1919,Y00867,CONOCO,,1996/10/30 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1998/03/22 00:00:00+00,1996/10/30 00:00:00+00,0,N,1996/10/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,10232000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,674,FI,FI674,0,867,BFT,N,,0.0054969576494841,0.341684319530049
1920,Y00868,EXXON,,1994/09/30 00:00:00+00,EXPIR,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1994/09/30 00:00:00+00,0,N,1994/09/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,12322000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,675,FI,FI675,0,868,BFT,N,,0.00549615559975791,0.341683125415234
1921,Y00869,EXXON,,1994/09/30 00:00:00+00,EXPIR,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1994/09/30 00:00:00+00,0,N,1994/09/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,13332000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,676,FI,FI676,0,869,BFT,N,,0.00549558559941943,0.341696085555601
1922,Y00870,CHEVRON,,1991/10/15 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1991/10/15 00:00:00+00,0,N,1991/10/15 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,13401000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,677,FI,FI677,0,870,BFT,N,,0.00549466180018499,0.341690821375305
1923,Y00871,AMOCO,,1993/12/20 00:00:00+00,RELINQ,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,53486000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,678,FI,FI678,0,871,BFT,N,,0.00549483314989629,0.341718805663026
